MyUnknownColumn,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
64,male,group D,associate's degree,standard,completed,single,regularly,yes,1,school_bus,5 - 10,71,70,68
81,female,group B,some college,standard,none,divorced,sometimes,no,2,private,5 - 10,51,68,62
961,male,group D,bachelor's degree,standard,completed,married,sometimes,no,3,school_bus,> 10,95,89,94
415,male,group B,some college,free/reduced,none,single,sometimes,yes,2,school_bus,< 5,62,61,50
826,female,group B,some high school,free/reduced,none,widowed,sometimes,no,1,private,5 - 10,49,60,57
989,male,group B,some college,standard,none,divorced,sometimes,no,2,private,5 - 10,81,70,69
342,male,group B,bachelor's degree,standard,none,married,sometimes,no,6,school_bus,5 - 10,63,62,56
322,male,group C,,standard,none,divorced,,yes,1,private,> 10,70,76,64
396,male,group C,,standard,none,married,regularly,yes,1,school_bus,5 - 10,64,52,49
449,female,group C,some high school,standard,completed,married,sometimes,yes,3,school_bus,5 - 10,77,91,96
476,male,group D,high school,standard,none,divorced,regularly,yes,3,school_bus,> 10,65,56,59
557,male,group D,associate's degree,standard,completed,married,sometimes,no,5,private,5 - 10,99,100,90
159,male,group B,high school,standard,completed,married,regularly,yes,1,private,> 10,98,79,84
366,male,group C,some college,free/reduced,none,married,sometimes,yes,3,school_bus,< 5,45,40,36
391,female,group D,some college,standard,none,single,sometimes,no,3,private,< 5,74,66,75
874,male,group C,some high school,standard,completed,married,regularly,no,2,school_bus,> 10,84,82,80
500,male,group D,high school,free/reduced,none,married,never,yes,2,school_bus,< 5,63,58,50
314,male,group E,associate's degree,standard,none,married,sometimes,no,2,school_bus,< 5,69,66,62
446,female,group C,bachelor's degree,standard,,married,sometimes,no,2,school_bus,5 - 10,45,60,60
878,female,group D,some high school,standard,none,single,regularly,no,3,private,,60,73,82
760,female,group C,high school,free/reduced,none,married,sometimes,yes,1,school_bus,5 - 10,53,72,64
58,female,group D,some college,standard,completed,married,sometimes,yes,1,school_bus,> 10,84,96,94
261,female,group A,some college,standard,none,married,never,no,4,school_bus,< 5,61,66,68
362,female,group C,some college,standard,none,widowed,regularly,no,7,school_bus,5 - 10,48,58,59
932,male,group C,some college,standard,,married,sometimes,no,4,private,5 - 10,73,66,60
800,male,group A,high school,standard,completed,single,regularly,no,1,school_bus,5 - 10,72,65,68
20,male,group C,some college,standard,completed,married,never,yes,3,school_bus,5 - 10,66,60,62
318,male,group B,high school,standard,completed,single,regularly,yes,3,private,5 - 10,59,60,59
819,female,group D,,standard,none,divorced,regularly,no,4,school_bus,5 - 10,42,54,54
609,female,group C,bachelor's degree,standard,none,divorced,sometimes,yes,3,private,< 5,52,60,60
848,male,group C,master's degree,free/reduced,completed,married,regularly,yes,0,private,5 - 10,67,75,73
131,male,group E,associate's degree,standard,completed,single,sometimes,yes,3,school_bus,< 5,76,70,68
686,female,group C,associate's degree,free/reduced,none,married,regularly,no,1,school_bus,5 - 10,61,79,76
69,male,group C,associate's degree,free/reduced,none,single,,yes,4,private,5 - 10,70,61,63
631,male,group D,some college,free/reduced,none,married,sometimes,no,1,private,5 - 10,56,57,56
246,female,group A,high school,free/reduced,none,married,regularly,yes,0,private,< 5,58,68,65
275,female,group B,associate's degree,free/reduced,completed,married,sometimes,yes,0,school_bus,< 5,31,50,48
693,male,group B,some high school,standard,none,married,sometimes,no,3,school_bus,5 - 10,45,37,35
713,male,group C,some high school,free/reduced,none,single,regularly,yes,0,,< 5,51,60,56
556,male,group D,bachelor's degree,standard,none,divorced,sometimes,no,3,private,5 - 10,59,61,61
615,male,group C,some college,standard,completed,divorced,sometimes,yes,2,school_bus,< 5,83,85,88
994,female,group E,high school,standard,none,divorced,sometimes,yes,2,private,5 - 10,92,100,93
762,female,group C,bachelor's degree,free/reduced,none,married,sometimes,no,3,school_bus,5 - 10,68,73,74
289,female,group D,high school,free/reduced,completed,married,regularly,yes,1,,,67,76,77
448,female,group D,high school,standard,none,married,sometimes,yes,1,school_bus,5 - 10,57,69,72
501,female,group C,some college,standard,completed,single,never,no,1,private,> 10,46,55,62
231,male,group C,some college,standard,none,divorced,sometimes,no,3,school_bus,> 10,75,73,79
928,male,group B,some college,standard,,married,regularly,yes,3,school_bus,> 10,73,73,64
90,male,group B,master's degree,standard,none,divorced,never,yes,3,private,< 5,60,50,58
101,female,group C,some high school,free/reduced,none,single,sometimes,no,2,school_bus,< 5,39,50,49
845,female,group D,some high school,standard,none,divorced,regularly,no,4,school_bus,5 - 10,78,76,78
560,male,group B,associate's degree,standard,none,married,sometimes,yes,1,school_bus,< 5,75,69,65
540,male,group D,some college,free/reduced,none,divorced,sometimes,yes,2,school_bus,> 10,83,76,72
258,male,group E,some high school,standard,none,divorced,sometimes,no,3,,5 - 10,68,67,56
701,male,group B,bachelor's degree,standard,completed,divorced,sometimes,no,2,school_bus,< 5,62,62,65
928,male,,associate's degree,standard,completed,married,regularly,no,1,school_bus,5 - 10,52,66,68
304,male,group C,some high school,free/reduced,none,divorced,regularly,yes,3,school_bus,5 - 10,50,56,46
580,male,group D,associate's degree,free/reduced,none,divorced,sometimes,yes,4,school_bus,5 - 10,51,46,45
754,female,group C,some college,standard,completed,divorced,sometimes,yes,3,school_bus,> 10,83,94,99
70,male,group C,bachelor's degree,standard,completed,widowed,regularly,yes,5,school_bus,5 - 10,71,70,70
741,female,group B,associate's degree,free/reduced,none,single,sometimes,no,2,school_bus,< 5,33,48,42
915,male,group C,some college,standard,none,single,regularly,yes,4,school_bus,< 5,84,72,68
481,female,group B,some college,standard,none,married,sometimes,yes,3,private,5 - 10,64,59,63
805,female,group D,associate's degree,standard,completed,married,regularly,yes,0,school_bus,< 5,47,49,56
328,female,group D,high school,standard,none,divorced,sometimes,no,1,,< 5,57,62,69
168,male,group D,,standard,,married,,no,2,school_bus,> 10,54,51,52
13,male,group D,associate's degree,free/reduced,completed,married,sometimes,yes,1,private,< 5,64,54,55
198,female,group B,high school,standard,completed,married,sometimes,no,2,private,5 - 10,61,78,83
684,female,group B,master's degree,standard,completed,divorced,sometimes,no,2,,5 - 10,67,71,81
516,male,group C,some high school,free/reduced,none,married,sometimes,no,2,private,> 10,55,53,46
166,female,group E,associate's degree,free/reduced,none,single,sometimes,yes,2,private,5 - 10,57,61,56
656,female,group C,high school,standard,none,married,regularly,yes,1,school_bus,5 - 10,75,86,88
994,male,group D,master's degree,standard,none,divorced,regularly,yes,2,private,> 10,82,84,82
338,male,group C,associate's degree,free/reduced,none,single,never,yes,3,school_bus,5 - 10,66,74,69
676,male,group C,associate's degree,free/reduced,none,single,sometimes,yes,0,school_bus,5 - 10,61,60,57
155,female,group D,some college,standard,completed,single,regularly,yes,3,private,< 5,99,99,100
870,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,1,private,< 5,65,77,71
247,male,group C,master's degree,standard,none,married,never,no,2,school_bus,< 5,65,77,71
772,male,group D,associate's degree,standard,none,single,sometimes,yes,1,school_bus,5 - 10,61,55,55
473,female,group E,some high school,standard,none,married,sometimes,yes,1,private,< 5,86,88,90
690,male,group D,associate's degree,free/reduced,none,married,regularly,,0,,< 5,65,66,61
666,female,group E,some college,free/reduced,completed,divorced,never,yes,4,school_bus,5 - 10,68,78,80
679,male,group D,master's degree,standard,none,married,regularly,yes,3,private,5 - 10,83,78,72
84,female,group D,some college,free/reduced,none,married,sometimes,yes,2,private,< 5,46,68,68
546,male,group D,bachelor's degree,standard,completed,married,sometimes,no,2,,< 5,70,72,72
19,male,group E,some college,standard,none,single,regularly,no,2,private,5 - 10,67,51,55
182,female,,some college,standard,completed,married,regularly,no,2,school_bus,< 5,68,87,88
317,male,group B,some college,standard,none,single,sometimes,yes,0,school_bus,> 10,80,84,79
887,male,group C,some college,standard,,married,sometimes,yes,1,private,5 - 10,58,63,61
3,female,group E,some college,standard,completed,single,regularly,yes,0,private,< 5,77,77,81
531,female,group C,master's degree,free/reduced,none,married,sometimes,no,3,school_bus,< 5,71,84,88
297,female,group B,some college,standard,none,single,sometimes,yes,1,school_bus,5 - 10,62,76,73
974,male,group D,bachelor's degree,standard,none,married,sometimes,yes,1,,< 5,54,43,41
546,female,group A,associate's degree,standard,none,single,sometimes,yes,2,private,5 - 10,49,57,57
191,male,,some college,standard,none,married,,yes,2,school_bus,< 5,58,57,52
477,male,group E,some high school,free/reduced,none,divorced,sometimes,no,2,school_bus,> 10,57,54,42
810,female,group E,bachelor's degree,standard,none,single,sometimes,yes,0,school_bus,< 5,76,83,82
304,male,group C,some high school,free/reduced,completed,married,sometimes,,3,private,< 5,72,80,75
68,female,group D,some college,free/reduced,none,divorced,regularly,yes,4,private,5 - 10,50,65,65
642,female,group C,associate's degree,free/reduced,none,divorced,sometimes,yes,3,school_bus,5 - 10,62,71,70
255,male,group A,some college,free/reduced,completed,divorced,regularly,yes,1,school_bus,5 - 10,67,65,56
447,female,group C,high school,free/reduced,completed,,sometimes,no,1,private,< 5,64,64,70
261,male,group D,some high school,free/reduced,completed,,sometimes,yes,3,school_bus,5 - 10,54,57,54
148,female,group D,some high school,free/reduced,none,divorced,sometimes,yes,0,private,5 - 10,47,59,59
293,male,group E,associate's degree,standard,completed,married,sometimes,no,3,private,5 - 10,88,75,82
844,male,,master's degree,free/reduced,completed,widowed,sometimes,no,1,school_bus,5 - 10,72,68,69
6,male,group B,some high school,standard,completed,married,,yes,3,private,< 5,63,72,73
332,female,group D,some college,free/reduced,none,single,sometimes,yes,0,private,5 - 10,63,78,76
277,male,,associate's degree,standard,none,married,never,no,2,private,5 - 10,97,90,89
102,female,group C,some college,standard,completed,single,regularly,yes,3,,5 - 10,87,100,100
963,female,group D,some high school,free/reduced,completed,divorced,sometimes,yes,3,private,> 10,48,65,65
20,female,,master's degree,standard,completed,married,sometimes,yes,5,school_bus,5 - 10,87,100,100
7,male,group C,associate's degree,standard,none,single,regularly,yes,3,private,5 - 10,61,58,55
541,male,,associate's degree,standard,,married,sometimes,no,2,school_bus,5 - 10,70,66,60
369,male,group A,bachelor's degree,free/reduced,none,single,sometimes,no,3,school_bus,5 - 10,61,61,52
779,female,group C,some college,standard,completed,married,,no,4,school_bus,< 5,67,79,79
329,female,group D,bachelor's degree,standard,none,married,regularly,yes,2,private,< 5,59,70,69
955,male,group B,,free/reduced,,divorced,regularly,yes,3,school_bus,< 5,65,59,61
918,female,group C,some college,standard,none,married,regularly,yes,3,school_bus,5 - 10,79,96,97
587,female,group D,,standard,none,married,regularly,no,1,private,< 5,73,80,80
597,male,group C,associate's degree,standard,none,married,sometimes,no,2,school_bus,5 - 10,47,50,44
22,female,group B,high school,standard,none,married,sometimes,no,3,private,5 - 10,83,93,94
891,male,group C,high school,standard,none,married,sometimes,no,4,private,5 - 10,47,45,38
777,female,group B,master's degree,free/reduced,completed,divorced,sometimes,yes,4,,> 10,81,90,86
52,male,group D,,standard,completed,divorced,sometimes,yes,0,school_bus,5 - 10,78,70,76
64,female,group D,some college,free/reduced,none,,regularly,yes,0,school_bus,5 - 10,61,65,68
683,male,group E,high school,standard,none,married,regularly,yes,1,private,> 10,77,64,66
168,male,group C,associate's degree,standard,none,single,regularly,no,2,school_bus,< 5,86,89,88
118,female,group C,high school,free/reduced,completed,married,sometimes,yes,0,school_bus,5 - 10,35,49,49
677,female,group E,high school,free/reduced,none,divorced,regularly,no,3,private,> 10,79,77,77
403,female,,bachelor's degree,free/reduced,none,married,sometimes,no,5,school_bus,5 - 10,53,66,74
888,male,group C,high school,free/reduced,,married,sometimes,no,3,school_bus,< 5,39,49,40
167,female,group C,some college,standard,none,married,sometimes,yes,1,private,5 - 10,66,74,69
637,female,group C,some high school,standard,completed,married,sometimes,yes,1,school_bus,> 10,70,76,80
697,female,group B,associate's degree,standard,none,divorced,sometimes,yes,0,school_bus,< 5,59,63,61
395,female,group B,master's degree,standard,completed,married,sometimes,yes,1,school_bus,5 - 10,59,77,73
691,male,group B,high school,free/reduced,completed,single,regularly,no,1,school_bus,5 - 10,70,79,76
49,female,group C,high school,standard,,married,regularly,yes,3,private,> 10,70,78,80
855,female,group B,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,5 - 10,74,77,82
693,female,group D,some college,standard,none,married,sometimes,yes,1,private,< 5,47,68,60
185,male,group C,some high school,free/reduced,none,divorced,sometimes,,1,school_bus,5 - 10,44,54,50
524,male,group D,bachelor's degree,standard,none,married,,yes,4,private,< 5,91,88,92
386,female,,master's degree,standard,completed,married,sometimes,yes,3,school_bus,> 10,89,84,90
21,female,group D,some high school,standard,none,married,regularly,no,1,,< 5,63,72,77
200,male,group D,associate's degree,free/reduced,none,married,regularly,no,1,private,< 5,68,66,67
172,female,group C,some high school,standard,none,divorced,regularly,no,3,private,5 - 10,61,75,71
377,female,group E,bachelor's degree,standard,none,married,regularly,yes,2,school_bus,< 5,88,96,95
635,male,group C,some high school,standard,completed,married,regularly,yes,2,private,< 5,53,47,43
334,female,group D,high school,free/reduced,completed,married,sometimes,no,2,school_bus,< 5,46,57,62
417,male,group D,some high school,standard,none,divorced,regularly,yes,2,,> 10,86,71,63
191,male,group C,high school,free/reduced,none,married,sometimes,no,2,private,5 - 10,53,55,47
393,female,group D,high school,free/reduced,completed,divorced,sometimes,yes,3,,5 - 10,83,92,96
98,female,group D,bachelor's degree,free/reduced,completed,,sometimes,no,1,school_bus,5 - 10,77,100,100
120,male,group C,some high school,standard,completed,married,sometimes,no,3,school_bus,> 10,80,70,70
494,female,group C,some college,free/reduced,none,divorced,regularly,yes,3,school_bus,5 - 10,78,83,82
685,male,group B,master's degree,standard,none,married,regularly,yes,1,school_bus,5 - 10,72,74,78
5,male,group C,some college,standard,none,single,regularly,,1,school_bus,5 - 10,84,71,72
673,female,group C,associate's degree,standard,,married,sometimes,no,2,private,5 - 10,65,84,84
875,female,group C,bachelor's degree,standard,none,single,,yes,4,school_bus,> 10,77,83,84
260,male,group C,some high school,standard,,divorced,sometimes,yes,3,school_bus,< 5,84,78,76
567,female,group B,some college,free/reduced,none,divorced,never,no,3,private,5 - 10,44,58,57
637,female,group C,,standard,none,,never,yes,3,private,5 - 10,79,93,88
182,female,group C,some high school,free/reduced,none,married,sometimes,yes,3,private,< 5,50,52,51
205,male,group D,some high school,standard,none,married,regularly,yes,3,,5 - 10,63,54,49
950,male,group E,high school,standard,none,married,never,yes,0,private,5 - 10,91,71,69
136,female,group B,associate's degree,standard,none,divorced,sometimes,yes,1,school_bus,< 5,54,56,60
189,male,group E,some college,standard,none,married,never,yes,2,school_bus,> 10,99,96,89
341,male,group B,,free/reduced,none,married,never,no,1,private,< 5,51,57,50
236,male,group C,some high school,free/reduced,none,married,sometimes,no,4,private,,29,30,30
12,male,group E,some college,standard,none,divorced,sometimes,no,4,private,5 - 10,96,73,65
151,male,group A,high school,free/reduced,completed,married,sometimes,yes,4,private,5 - 10,49,41,42
427,female,group A,some high school,free/reduced,none,married,never,yes,2,school_bus,5 - 10,39,64,55
281,female,group C,associate's degree,standard,completed,married,sometimes,,1,school_bus,5 - 10,88,96,98
583,female,group A,master's degree,standard,completed,married,sometimes,yes,2,school_bus,< 5,84,88,86
125,male,group E,master's degree,free/reduced,none,married,sometimes,yes,2,,< 5,77,77,74
51,male,,associate's degree,free/reduced,completed,married,regularly,no,2,private,< 5,76,68,68
124,female,group E,high school,standard,completed,married,regularly,yes,3,,< 5,74,80,85
324,female,,associate's degree,standard,none,married,sometimes,,2,school_bus,> 10,73,86,88
57,male,group D,master's degree,free/reduced,completed,married,regularly,yes,2,school_bus,5 - 10,87,94,89
348,female,group C,high school,standard,none,divorced,sometimes,yes,3,school_bus,5 - 10,51,50,54
679,female,group C,some college,free/reduced,completed,married,regularly,no,2,school_bus,5 - 10,59,61,63
691,male,group B,,standard,none,married,never,no,2,private,5 - 10,50,42,40
534,male,group B,bachelor's degree,standard,completed,married,never,no,2,school_bus,< 5,66,66,61
823,female,group B,some high school,standard,,married,never,yes,3,private,< 5,58,70,71
790,female,group B,high school,standard,none,widowed,sometimes,no,2,school_bus,< 5,57,67,59
941,male,group D,high school,free/reduced,none,married,regularly,yes,3,private,< 5,46,49,38
234,female,group D,,standard,none,married,sometimes,no,2,school_bus,5 - 10,72,75,72
912,male,group C,some high school,standard,,married,regularly,yes,2,private,< 5,54,52,53
574,female,group C,some high school,standard,none,single,regularly,no,3,school_bus,5 - 10,76,82,79
651,female,group A,high school,standard,completed,married,regularly,yes,7,private,5 - 10,70,81,77
530,male,group C,bachelor's degree,standard,none,single,never,no,2,school_bus,> 10,82,81,73
711,female,group E,some college,free/reduced,none,married,sometimes,yes,3,school_bus,< 5,67,76,78
972,female,group C,some college,standard,none,divorced,regularly,yes,3,school_bus,5 - 10,60,63,62
260,female,group E,bachelor's degree,free/reduced,none,divorced,,yes,0,school_bus,5 - 10,64,72,68
327,male,group D,high school,standard,completed,married,sometimes,yes,1,school_bus,5 - 10,52,53,47
948,female,group D,some high school,free/reduced,none,married,sometimes,no,1,school_bus,> 10,43,56,56
228,male,group A,,free/reduced,none,divorced,sometimes,no,4,school_bus,5 - 10,68,72,64
63,female,group C,some high school,free/reduced,completed,divorced,never,no,4,school_bus,,62,71,73
123,male,group C,associate's degree,standard,completed,married,regularly,yes,3,private,< 5,49,51,58
601,male,group E,some college,standard,none,married,regularly,no,2,private,< 5,99,91,93
787,male,group E,associate's degree,standard,none,married,sometimes,yes,3,school_bus,5 - 10,73,55,46
277,male,group C,some college,standard,none,married,regularly,yes,3,school_bus,< 5,61,61,55
793,male,group B,master's degree,standard,none,married,regularly,yes,4,school_bus,> 10,59,54,60
720,male,group B,master's degree,standard,none,married,regularly,no,3,school_bus,< 5,56,56,53
569,male,group C,bachelor's degree,standard,none,married,sometimes,no,5,private,5 - 10,82,74,76
707,male,group D,associate's degree,standard,,married,never,no,2,school_bus,> 10,83,81,81
360,female,group A,some high school,free/reduced,none,single,regularly,no,4,school_bus,5 - 10,22,30,24
928,male,group C,some college,free/reduced,none,married,sometimes,yes,2,private,< 5,52,64,56
466,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,4,school_bus,< 5,61,63,69
732,male,group E,associate's degree,standard,none,single,sometimes,yes,3,private,5 - 10,77,74,63
517,male,group D,some college,standard,,single,sometimes,yes,3,private,5 - 10,85,82,90
361,female,group E,associate's degree,free/reduced,completed,divorced,regularly,yes,5,,5 - 10,57,71,73
809,male,,some college,standard,none,single,regularly,yes,3,,< 5,71,74,67
373,male,group C,high school,free/reduced,completed,widowed,sometimes,yes,0,school_bus,5 - 10,54,59,57
910,female,group D,bachelor's degree,free/reduced,none,single,never,yes,1,private,< 5,44,56,48
480,female,,some college,standard,completed,married,never,yes,1,private,< 5,64,76,83
534,female,group E,high school,free/reduced,none,married,never,yes,3,school_bus,5 - 10,56,65,62
364,male,,high school,standard,none,single,sometimes,yes,3,school_bus,5 - 10,74,70,66
812,female,group D,some college,free/reduced,completed,married,regularly,yes,1,school_bus,5 - 10,57,77,85
217,male,group B,some high school,standard,none,single,sometimes,yes,2,school_bus,< 5,78,68,69
351,female,group D,some college,standard,none,single,sometimes,yes,1,,5 - 10,79,79,81
633,female,group C,high school,free/reduced,none,married,never,no,4,private,> 10,58,62,64
302,male,group B,associate's degree,free/reduced,none,single,sometimes,,1,school_bus,5 - 10,64,56,56
691,male,group D,master's degree,standard,none,divorced,regularly,no,2,school_bus,> 10,78,74,72
328,female,group D,associate's degree,standard,none,married,never,yes,1,school_bus,5 - 10,59,75,67
137,female,group C,some college,free/reduced,none,single,sometimes,no,1,private,5 - 10,44,52,58
991,female,group E,some college,standard,none,married,sometimes,yes,1,private,5 - 10,78,86,83
860,female,group C,associate's degree,standard,none,single,never,yes,2,school_bus,5 - 10,68,64,65
631,female,group C,some high school,standard,completed,married,sometimes,yes,4,,5 - 10,54,70,65
